Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor
8,5.321056853517526,1,0.0,42,6.959778307049289,0.0,0.004535155617879968,3.646943773790383,0.0,2,2,5,2,0,False,False,False,False,False,False,False,True,False,False,False,False,True
0,0.0,0,0.0,30,6.804934744727583,0.0,0.00730657485153145,3.5595796547991756,0.0,2,2,7,2,0,False,True,False,False,False,False,False,False,False,False,True,False,False
0,0.0,0,0.0,13,6.045400180852578,0.0,0.027814687983375826,0.0,0.8,1,1,1,2,0,False,False,False,False,False,False,True,False,False,False,False,False,True
2,3.713572066704308,0,0.0,5,6.32704352775198,0.0,0.028170877383362988,0.0,0.0,2,2,7,2,1,False,False,False,False,False,True,False,False,False,False,True,False,False
0,0.0,0,0.0,16,7.377925561215492,0.0,0.013245226421073269,0.0,0.0,4,2,2,13,0,False,False,False,False,False,False,True,False,False,False,False,False,True
5,4.390738575275903,0,0.0,27,6.958971070366407,0.008583744033271815,0.016755393111989248,2.3153638469164797,0.0,2,5,1,13,0,False,False,False,False,False,False,False,False,True,False,False,False,True
11,7.403421117071253,0,0.0,16,7.523391266920374,0.0,0.013544225466501615,2.4665189304373074,0.0,1,1,2,3,0,False,False,False,False,False,True,False,False,False,False,False,False,True
3,4.414009680526933,0,0.0,9,7.205783643488062,0.0,0.016529302279079415,0.0,0.0,2,2,2,3,0,False,False,False,False,False,False,False,True,False,False,True,False,False
8,4.842085141123199,0,0.0,7,4.414816457537195,0.03278982250041022,0.023879274115411003,0.0,0.0,2,2,1,1,0,False,False,False,False,False,False,False,False,False,True,False,False,True
3,4.941642422609304,0,0.0,10,5.628134856162803,0.0,0.007662873050912636,0.0,0.0,3,2,1,2,1,False,False,False,False,False,True,False,False,False,False,False,False,True
0,0.0,0,0.0,2,2.995732273553991,0.0,0.09531017980432487,0.0,0.0,1,1,3,3,0,False,False,False,False,False,False,True,False,False,False,False,False,True
1,2.70805020110221,0,0.0,7,5.146039931102459,0.0,0.0246926125903715,0.0,0.0,1,1,1,2,0,False,False,False,False,False,False,False,True,False,False,True,False,False
1,0.0,0,0.0,7,3.6375861597263857,0.08004270736584411,0.1028573851389559,0.0,0.6,1,1,2,4,0,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0.0,0,0.0,1,0.0,0.18232155679395465,0.18232155679395465,0.0,0.0,1,1,1,20,0,False,False,False,False,False,False,False,True,False,False,False,False,True
12,6.606932842733579,1,2.833213344056216,21,7.186945796262431,0.008991711128025466,0.024822712419704608,4.373813017206854,0.0,2,2,1,8,0,False,False,False,False,False,True,False,False,False,False,False,False,True
7,4.603168183317418,0,0.0,5,4.254193263163997,0.021978906501383937,0.03278982250041022,0.0,0.0,3,2,2,5,1,False,False,False,True,False,False,False,False,False,False,True,False,False
8,5.062595033026967,4,4.110873864173311,24,7.084645445778885,0.015037877215286785,0.03320330248978076,1.9005472221431572,0.0,2,2,1,7,0,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0.0,0,0.0,7,6.502790045915623,0.0,0.01418463471026629,0.0,0.0,1,1,6,2,0,False,False,True,False,False,False,False,False,False,False,False,False,True
0,0.0,0,0.0,14,5.338339041057651,0.04196419923601844,0.08004270736584411,0.0,0.6,2,2,7,11,0,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0.0,0,0.0,3,4.700480365792417,0.0,0.03278982250041022,0.0,0.0,3,2,4,4,1,False,False,False,False,False,False,True,False,False,False,False,False,True
0,0.0,0,0.0,1,0.0,0.18232155679395465,0.18232155679395465,0.0,0.0,1,8,1,11,0,False,False,False,False,False,False,False,True,False,False,False,False,True
0,0.0,0,0.0,2,6.003887067106539,0.0,0.09531017980432487,0.0,0.0,2,2,6,13,0,False,False,False,False,False,False,True,False,False,False,False,False,True
10,5.692701493054973,0,0.0,29,6.667560120568294,0.0,0.0014803846896650366,3.583287430271269,0.0,2,2,5,4,1,False,False,False,False,False,False,True,False,False,False,False,False,True
1,3.7471483622379123,0,0.0,30,6.53029436728357,0.01916991639253031,0.04108002586730362,0.0,0.0,2,2,5,1,0,True,False,False,False,False,False,False,False,False,False,False,False,True
0,0.0,0,0.0,11,5.817111159963204,0.035718082251202043,0.05884050039436202,0.0,0.0,3,2,1,13,1,False,False,False,False,False,False,False,True,False,False,False,False,True
0,0.0,0,0.0,3,0.0,0.18232155679395465,0.18232155679395465,0.0,0.0,1,2,8,1,0,False,False,False,True,False,False,False,False,False,False,False,False,True
1,2.917770732084279,0,0.0,8,5.099866427824199,0.0,0.011049836076694864,0.0,0.0,3,2,1,2,1,False,False,False,False,False,True,False,False,False,False,True,False,False
0,0.0,0,0.0,25,6.373319789577012,0.0,0.01587334915629015,0.0,0.0,4,1,1,3,0,False,False,False,False,False,True,False,False,False,False,False,False,True
1,3.407841924380824,0,0.0,7,4.338597076746545,0.0,0.0246926125903715,0.0,0.0,1,1,4,2,1,True,False,False,False,False,False,False,False,False,False,True,False,False
4,4.400603020246817,0,0.0,27,6.160151912626133,0.0,0.015267471752000557,0.0,0.0,4,1,3,1,1,False,True,False,False,False,False,False,False,False,False,False,False,True
0,0.0,0,0.0,10,5.707110264748875,0.0,0.048790164169432,0.0,0.0,2,2,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,True
0,0.0,0,0.0,6,4.436751534363128,0.0,0.06453852145007118,0.0,0.0,1,1,3,10,0,False,False,False,False,False,False,False,True,False,False,False,False,True
1,3.367295829986474,4,5.093750200806762,23,6.492366089625781,0.013488861871205647,0.020234805462368485,3.0963147259261827,0.0,2,2,8,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True
